State,StateID,ItemLabels,GenItemLabel,Classification,Date,Amount
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/03/2019,376.8264206
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/04/2019,374.3134935
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/05/2019,343.476
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/06/2019,310.6003876
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/07/2019,269.8377878
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/08/2019,265.13
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/01/2017,364.8488889
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/02/2017,354.730125
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/03/2017,356.5603283
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/04/2017,348.4194674
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/05/2017,386.9668249
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/06/2017,411.2194642
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/07/2017,409.9213322
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/08/2017,402.107
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/09/2017,406.2701851
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/10/2017,395.7932196
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/11/2017,395.7932196
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/12/2017,404.781896
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/01/2018,450
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/02/2018,409.798652
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/03/2018,453.2713739
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/04/2018,441.5430847
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/05/2018,526.3636364
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/06/2018,530.7485661
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/07/2018,443.5559977
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/08/2018,446.5644955
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/09/2018,455.3068495
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/10/2018,400.9233695
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/11/2018,400.5771823
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/12/2018,443.5769186
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/01/2019,440
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/02/2019,398.2886509
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/03/2019,386.8973395
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/04/2019,369.6381493
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/05/2019,391.9765
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/06/2019,307.0387786
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/07/2019,272.9378393
Lagos,25,Beans:white black eye. sold loose,WnB Beans (loose),Food Item,01/08/2019,306.57
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/01/2017,1008.164167
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/02/2017,1025.555714
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/03/2017,1124.774775
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/04/2017,1055.555556
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/05/2017,1132.644628
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/06/2017,1169.069392
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/07/2017,1111.111111
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/08/2017,1122.831667
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/09/2017,1192.12963
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/10/2017,1129.166667
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/11/2017,1151.19
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/12/2017,1525.925926
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/01/2018,1525.925926
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/02/2018,1314.46281
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/03/2018,1126.190476
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/04/2018,1090.740741
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/05/2018,1500
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/06/2018,1320.588235
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/07/2018,1256.790123
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/08/2018,1230
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/09/2018,1172.222222
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/10/2018,1110.555556
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/11/2018,1024.074074
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/12/2018,1122.12669
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/01/2019,1223.809349
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/02/2019,1130.769231
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/03/2019,1126.507937
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/04/2019,1155.400697
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/05/2019,1145.586923
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/06/2019,1163.636364
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/07/2019,1149.425287
Lagos,25,Beef Bone in,Bonny Beef,Food Item,01/08/2019,1095.25
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/01/2017,1363.314167
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/02/2017,1378.883239
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/03/2017,1320.911616
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/04/2017,1264.912281
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/05/2017,1404.385965
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/06/2017,1472.62649
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/07/2017,1451.505848
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/08/2017,1673.782
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/09/2017,1640.569561
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/10/2017,1633.333333
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/11/2017,1691.177059
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/12/2017,1689.190548
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/01/2018,1389.190548
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/02/2018,1207.177896
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/03/2018,1238.763576
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/04/2018,1250.972222
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/05/2018,1344.02217
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/06/2018,1324.705223
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/07/2018,1326.046798
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/08/2018,1522.5
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/09/2018,1325.132275
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/10/2018,1266.666667
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/11/2018,1319.047619
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/12/2018,1264.113757
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/01/2019,1312.547217
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/02/2019,1284.803922
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/03/2019,1267.460317
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/04/2019,1248.77451
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/05/2019,1211.503182
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/06/2019,1264.035088
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/07/2019,1241.42487
Lagos,25,"Beef,boneless",Bonless Beef,Food Item,01/08/2019,1275.92
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/01/2017,308.05
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/02/2017,304
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/03/2017,299.5238095
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/04/2017,289.4736842
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/05/2017,294.2105263
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/06/2017,307.6190476
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/07/2017,291.1764706
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/08/2017,272.2222222
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/09/2017,266.6666667
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/10/2017,258.4615385
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/11/2017,250.2352941
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/12/2017,309.375
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/01/2018,350
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/02/2018,328.2105263
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/03/2018,339.5238095
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/04/2018,297.6190476
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/05/2018,295.5573534
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/06/2018,296.3157895
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/07/2018,305.1724138
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/08/2018,295
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/09/2018,297.3684211
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/10/2018,295.7142857
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/11/2018,305
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/12/2018,306.5
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/01/2019,308.8169072
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/02/2019,291.6666667
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/03/2019,274.7619048
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/04/2019,287.7777778
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/05/2019,288.6363636
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/06/2019,205.2631579
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/07/2019,247.8947368
Lagos,25,Bread sliced 500g,Scliced Bread (500g),Food Item,01/08/2019,298.21
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/01/2017,265.81
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/02/2017,256.3888889
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/03/2017,259
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/04/2017,253.8888889
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/05/2017,260
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/06/2017,250
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/07/2017,238
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/08/2017,267.5
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/09/2017,272.2222222
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/10/2017,265
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/11/2017,256.25
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/12/2017,250
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/01/2018,300
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/02/2018,252.7777778
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/03/2018,298.8095238
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/04/2018,252.2727273
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/05/2018,262.9618176
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/06/2018,241.3043478
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/07/2018,256.0714286
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/08/2018,247.6190476
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/09/2018,252.6315789
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/10/2018,243.1818182
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/11/2018,252.5
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/12/2018,238.0952381
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/01/2019,257.4916957
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/02/2019,255.5555556
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/03/2019,254.5454545
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/04/2019,263.1578947
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/05/2019,275
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/06/2019,247.2222222
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/07/2019,255.5555556
Lagos,25,Bread unsliced 500g,uSliced Bread (500g),Food Item,01/08/2019,250
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/01/2017,720.6125
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/02/2017,712.3041071
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/03/2017,709.2592593
